; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -noov -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Discard overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
carB	2	0	4	0	1	1	0	0	2	1	1	1	1	1	0	0
caiF	16	12	12	29	14	6	11	12	18	10	9	12	21	15	17	26
caiE	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
caiD	13	6	7	8	9	3	1	6	7	6	4	3	5	4	8	4
caiC	6	5	4	3	5	3	7	3	4	8	4	4	3	2	5	1
caiB	4	5	7	10	8	6	13	6	7	16	6	6	8	6	8	4
caiA	5	1	3	2	2	2	0	0	2	0	1	1	2	1	1	2
caiT	58	33	17	55	41	13	16	11	23	11	8	19	41	25	20	40
fixA	40	19	11	55	20	8	16	17	25	11	13	33	41	23	41	58
fixB	0	1	1	1	1	0	0	1	1	1	2	0	1	0	1	1
fixC	0	2	3	1	4	3	1	7	2	7	4	0	0	3	5	3
yaaU	6	6	1	3	4	2	3	3	3	3	2	3	3	2	5	3
kefF	8	7	3	11	5	2	5	9	6	5	3	4	9	7	7	8
folA	10	13	12	12	14	5	13	8	12	9	6	12	12	13	8	14
apaH	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
apaG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
surA	5	2	2	4	2	2	3	0	3	2	2	5	3	1	5	5
lptD	14	22	8	24	20	12	18	12	14	12	9	14	19	16	14	14
djlA	14	14	12	24	14	9	18	8	16	12	12	22	19	14	20	14
yabP	19	17	17	20	12	7	16	16	21	17	16	15	21	10	20	23
rluA	1	0	1	0	0	1	2	0	2	1	1	0	0	0	0	0
rapA	11	11	10	14	14	13	7	7	10	12	4	6	11	5	10	9
polB	6	6	4	5	7	4	1	4	4	4	3	2	4	3	5	5
araD	11	14	14	19	17	14	34	16	15	41	16	10	15	13	17	11
araA	0	2	0	1	1	0	1	0	2	0	1	0	1	0	0	0
araB	22	26	14	25	29	18	16	22	14	19	8	13	21	22	17	25
araC	25	13	22	25	17	8	16	14	22	19	18	26	21	14	29	22
yabI	4	6	6	6	8	2	4	3	7	5	5	4	3	4	6	7
thiB	12	12	5	6	8	9	14	12	10	12	8	8	6	10	11	9
sgrR	6	2	4	6	2	2	0	4	4	2	3	3	6	2	4	10
sgrS	10	3	4	6	4	3	0	4	2	2	2	2	6	4	2	6
sgrT	12	3	6	7	5	5	1	4	4	4	4	3	6	4	4	6
setA	3	1	1	1	0	1	4	2	1	3	1	1	1	2	0	1
leuD	0	2	1	0	2	1	0	0	1	1	1	0	0	0	0	0
leuC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
leuA	9	6	7	2	8	6	8	2	5	11	3	2	2	2	2	4
leuL	51	23	16	65	40	13	20	18	19	25	10	19	46	30	27	41
leuO	36	16	18	70	28	8	13	16	30	17	14	22	46	24	37	64
ilvI	19	7	15	32	14	10	6	19	17	11	12	20	23	21	27	39
ilvH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
cra	16	9	8	16	15	5	6	6	7	13	7	8	11	5	13	17
mraZ	37	32	18	36	28	15	28	27	26	33	20	24	32	19	37	44
ftsI	1	2	0	1	0	0	3	0	2	2	1	0	1	0	0	0
murD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
murC	5	0	4	5	1	1	3	1	4	4	1	4	5	1	5	5
ftsZ	2	5	5	4	4	2	5	2	8	4	5	0	2	2	2	3
lpxC	6	5	4	8	1	2	6	6	8	5	8	6	8	3	9	7
secM	18	13	7	19	11	4	13	16	12	14	9	11	16	13	17	19
secA	5	5	1	5	4	2	4	3	2	3	2	1	5	2	1	9
mutT	6	2	6	2	2	1	2	4	3	5	3	3	5	1	3	6
yacG	2	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0
coaE	18	11	7	23	13	5	14	11	11	14	8	10	17	13	13	16
guaC	16	10	11	23	13	8	14	7	13	14	5	11	17	11	13	18
hofB	0	0	1	0	1	0	1	0	1	2	2	0	0	0	0	0
ppdD	15	7	7	10	10	15	16	15	8	16	5	8	6	18	10	14
nadC	2	3	6	8	3	3	2	7	4	4	4	7	10	6	6	8
ampD	8	7	7	8	6	4	2	6	6	4	3	3	10	4	3	2
aroP	46	43	17	44	42	11	17	23	25	16	11	22	37	24	29	49
pdhR	53	24	26	44	31	11	15	18	25	16	12	39	37	25	39	45
aceE	17	7	13	13	8	5	7	6	12	7	6	8	13	8	7	11
aceF	3	0	2	1	0	0	0	0	2	0	1	1	2	0	0	0
lpd	23	16	22	23	13	14	19	11	22	19	22	22	26	8	22	19
yacH	24	17	21	24	23	15	20	21	21	19	14	21	18	28	19	25
acnB	25	21	21	24	19	14	20	21	28	19	15	17	18	21	23	24
yacL	10	9	7	14	14	7	16	6	9	18	8	6	6	9	10	11
speD	3	0	3	1	0	0	0	0	4	0	1	0	1	0	0	0
speE	5	5	4	8	4	6	5	4	4	5	4	8	9	4	8	10
yacC	14	7	12	9	11	8	10	10	6	11	5	10	11	13	5	12
cueO	12	10	10	9	5	5	10	12	13	11	8	7	11	6	11	14
gcd	22	15	6	22	16	4	9	11	9	10	5	8	17	11	12	14
hpt	14	8	11	22	12	5	9	6	11	10	4	15	17	9	16	22
can	5	8	3	7	3	6	5	7	1	2	4	9	13	6	4	14
yadG	14	9	7	7	4	4	5	3	6	2	6	8	13	1	3	5
yadI	4	4	8	6	4	3	3	9	9	4	12	3	5	8	5	7
yadE	3	2	1	4	2	2	5	4	2	5	2	3	3	4	4	9
panD	15	14	21	14	21	9	21	15	14	24	11	18	14	18	14	14
yadD	14	18	15	14	14	11	21	21	18	24	9	14	14	14	21	15
panC	0	1	1	0	1	0	1	0	1	0	1	2	0	1	0	1
panB	7	10	6	10	14	5	3	6	5	8	3	5	7	5	9	4
yadC	10	5	3	3	7	1	1	0	2	2	1	1	3	0	1	1
yadK	1	3	3	3	3	0	0	2	3	0	1	0	3	1	0	2
yadL	2	0	1	2	0	0	0	0	2	0	1	0	1	0	0	1
yadM	2	2	1	0	2	0	1	1	1	0	1	1	1	1	0	0
htrE	3	0	5	4	4	1	1	0	2	4	3	0	3	2	0	1
yadV	8	3	3	16	4	2	0	4	5	0	3	4	13	5	5	13
yadN	37	15	8	50	20	8	4	24	12	7	6	14	41	26	21	40
pcnB	1	4	2	5	1	3	2	5	5	3	1	4	5	1	7	5
gluQ	1	4	2	1	5	3	3	0	1	2	2	2	2	2	0	3
dksA	13	8	11	13	10	5	10	8	7	11	7	13	15	10	10	13
sfsA	1	0	1	1	2	0	1	0	1	1	1	1	0	1	1	1
ligT	5	5	4	5	7	4	6	3	2	6	2	4	4	6	2	5
hrpB	5	4	3	5	2	2	6	4	6	6	4	5	4	2	7	5
mrcB	11	8	15	8	10	9	9	15	17	11	12	7	4	16	10	12
fhuA	13	11	8	25	14	10	13	12	10	9	5	9	21	18	7	20
fhuC	1	2	1	2	4	2	2	3	1	3	4	3	0	4	4	7
hemL	19	16	12	22	21	8	6	11	13	10	4	8	16	12	13	17
clcA	17	8	11	22	13	4	6	12	12	10	8	16	16	13	21	19
erpA	6	2	4	11	3	3	4	0	6	4	4	4	7	1	6	8
yadS	1	2	2	1	3	2	1	3	3	2	3	2	0	2	4	3
mtn	5	2	3	6	2	5	8	7	3	7	2	5	6	8	3	3
dgt	3	5	7	6	3	2	8	3	8	7	5	2	6	3	2	5
degP	14	10	8	8	7	2	5	8	10	5	3	4	9	5	6	13
cdaR	10	14	4	9	13	11	6	15	5	6	6	6	9	14	7	11
yaeH	14	7	12	13	11	5	7	7	11	11	7	5	9	7	8	11
yaeI	1	4	4	3	5	1	5	1	4	7	2	1	1	0	4	3
dapD	3	2	2	2	1	0	0	1	3	0	0	3	3	0	4	2
glnD	5	1	1	7	2	2	5	2	4	7	4	1	4	1	5	5
map	10	16	6	21	16	6	14	7	13	11	8	12	15	10	15	15
tff	15	12	7	21	15	8	14	6	10	11	6	16	15	13	16	10
rpsB	2	1	2	3	1	1	0	1	1	0	1	1	4	1	0	4
tsf	13	9	23	18	13	11	15	11	21	19	16	10	17	11	12	15
pyrH	11	5	9	8	8	4	7	10	7	11	6	8	7	10	10	11
frr	21	15	20	19	17	10	18	11	14	20	18	23	23	12	19	14
dxr	4	4	2	4	3	2	7	9	5	7	5	4	2	9	7	9
ispU	8	6	15	13	7	6	10	10	8	12	9	16	19	10	10	13
cdsA	0	0	0	0	0	0	1	1	0	1	2	1	0	1	1	1
rseP	2	0	1	1	0	0	1	0	1	0	2	1	1	0	0	0
bamA	4	2	4	2	1	0	2	0	3	1	1	2	4	0	0	2
skp	8	5	9	9	7	5	6	4	8	7	8	10	8	5	9	4
lpxD	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
fabZ	2	4	4	8	5	4	7	6	4	5	4	8	7	9	6	15
lpxA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
dnaE	4	1	3	2	0	1	2	2	4	0	1	3	2	3	3	3
accA	1	2	1	1	1	0	0	1	1	0	1	0	2	0	0	0
ldcC	7	4	8	4	6	3	4	4	7	5	9	4	3	6	4	10
yaeR	4	3	5	1	2	2	5	3	4	5	3	4	3	1	3	4
tilS	3	3	0	5	5	4	6	3	0	8	3	4	3	4	5	3
yaeP	9	8	16	10	11	4	8	8	13	11	9	12	9	8	12	10
yaeQ	10	12	8	10	12	9	8	16	8	11	4	8	9	13	11	9
nlpE	3	0	2	1	0	0	0	0	2	0	2	0	0	0	1	0
yaeF	3	1	3	4	3	3	0	2	3	2	3	2	3	2	4	5
proS	6	10	2	3	7	7	3	13	3	5	3	4	4	9	7	14
rcsF	5	6	4	12	9	3	4	6	6	5	4	5	7	8	8	14
metQ	8	3	3	4	4	0	1	0	3	0	2	2	3	1	1	2
metN	11	10	8	19	11	7	11	12	13	12	4	7	14	11	13	14
gmhB	14	7	12	19	13	4	11	8	11	12	7	10	14	13	11	11
rrsH	33	23	21	24	24	12	22	21	29	19	9	16	15	25	21	22
ileV	6	5	6	3	5	2	1	6	5	4	0	4	4	3	6	3
alaV	4	3	2	4	3	0	1	1	2	2	2	2	3	0	3	5
rrlH	19	9	9	11	11	1	6	13	13	6	5	13	6	15	17	13
rrfH	9	5	10	7	6	2	5	3	12	6	3	2	3	3	5	7
aspU	8	1	4	3	3	2	3	0	1	2	4	6	4	2	2	3
dkgB	14	5	11	14	10	6	7	12	7	9	2	6	13	14	4	16
yafC	17	15	10	23	19	5	7	16	12	10	7	9	18	17	14	23
yafD	23	9	16	23	14	7	7	10	17	10	5	15	18	12	19	17
yafE	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
mltD	4	6	1	4	5	2	6	5	2	3	2	5	4	8	3	7
gloB	2	4	2	1	4	2	1	3	2	0	1	2	1	3	1	2
yafS	2	2	3	1	1	1	1	2	3	0	2	4	1	2	4	2
rnhA	2	4	7	4	6	1	3	2	4	1	2	6	4	6	2	7
dnaQ	7	6	2	4	2	2	3	7	6	1	1	4	4	4	6	2
aspV	14	9	7	8	7	5	12	4	11	9	5	5	5	6	6	7
yafT	23	5	16	46	17	6	8	13	20	9	6	18	30	23	23	40
ykfM	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1
yafU	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
yafF	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
yafV	14	7	8	16	10	7	4	8	5	9	4	7	16	7	8	12
ivy	12	7	8	16	8	4	4	8	7	9	7	7	16	5	10	14
fadE	19	17	16	20	20	10	6	10	13	11	9	15	20	8	16	13
gmhA	13	15	10	20	16	9	6	16	8	11	10	17	20	13	20	19
yafJ	9	10	4	15	8	14	23	12	11	22	9	11	10	12	16	9
yafK	10	5	7	11	6	12	9	8	9	10	5	10	7	8	13	12
yafQ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dinJ	18	11	7	28	16	5	4	10	7	8	5	10	23	11	14	17
yafL	17	10	10	28	14	5	4	7	11	8	5	11	23	7	16	18
rayT	8	9	8	10	7	13	18	10	11	18	6	7	9	9	9	12
dinB	3	5	4	5	5	2	1	6	5	3	1	4	4	4	7	4
yafN	0	2	1	9	2	0	0	3	1	1	2	6	9	2	7	4
yafO	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yafP	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	2
ykfJ	23	16	18	28	19	11	13	18	22	18	12	15	20	17	24	22
prfH	1	2	1	0	0	0	4	0	1	1	1	2	1	1	0	0
pepD	15	16	14	14	13	9	13	20	16	15	9	18	15	16	21	16
gpt	16	18	20	14	21	9	13	14	16	15	9	16	15	16	13	15
frsA	4	4	5	3	6	4	4	7	1	7	6	6	5	7	5	10
crl	6	3	4	5	7	1	0	1	2	4	2	2	3	1	4	5
phoE	25	12	13	27	18	7	15	14	13	17	9	12	22	18	13	29
proB	29	12	14	27	13	9	15	13	18	17	7	12	22	13	18	25
proA	0	0	2	0	1	0	0	1	1	2	2	0	0	0	1	0
thrW	7	7	5	8	10	8	7	2	5	5	4	9	4	7	8	10
ykfN	5	11	1	7	6	7	8	10	3	8	3	4	9	6	6	11
ykfI	1	4	2	0	2	1	1	1	2	1	0	0	2	0	0	1
yafW	2	1	2	1	1	0	0	1	2	0	1	2	2	0	2	0
ykfH	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	1
ykfG	2	1	3	0	2	1	1	0	2	1	1	0	0	0	0	0
yafX	2	9	3	8	9	10	9	3	5	8	2	1	6	5	2	6
ykfF	2	2	8	3	6	6	3	4	3	6	4	3	5	5	1	6
ykfB	4	4	3	0	3	0	1	0	4	0	1	0	0	0	0	0
ykfK	11	14	8	10	14	16	11	17	9	10	7	16	9	18	16	12
yafZ	1	3	2	6	1	8	5	7	5	4	3	6	5	6	7	10
ykfA	20	14	18	30	23	6	14	26	15	22	12	12	24	27	18	28
perR	4	5	6	7	9	5	0	6	6	2	4	8	4	8	10	6
insN	6	8	6	7	10	4	0	6	8	2	5	5	4	6	9	4
insI1	41	29	23	29	34	17	17	16	32	21	21	20	16	17	33	20
eyeA	25	28	25	19	23	20	27	16	36	25	27	27	12	13	37	10
ykfC	11	9	16	9	7	9	14	8	18	15	17	13	8	5	16	6
insH1	18	12	13	16	14	12	13	8	12	15	9	9	14	9	10	7
mmuP	7	9	8	16	10	9	13	13	9	15	12	12	14	12	14	18
afuC	0	1	1	0	1	0	1	1	1	2	1	0	0	0	1	0
afuB	0	1	1	1	1	1	1	0	1	0	1	2	1	1	1	2
insA	1	2	2	4	2	2	0	4	4	3	3	6	3	1	10	4
insI1	4	6	4	4	10	3	0	2	1	3	2	2	3	4	2	1
insX	5	4	5	3	4	4	3	2	5	3	3	3	3	3	3	4
yagB	7	5	3	8	8	6	5	4	4	4	5	5	3	8	5	7
yagA	18	18	20	18	17	14	13	16	23	11	23	14	16	17	14	15
yagE	15	14	16	18	14	23	13	20	17	11	14	18	16	23	17	18
yagF	1	2	0	1	0	1	3	0	2	1	1	0	1	0	0	0
yagG	22	13	9	25	13	4	10	7	12	8	7	12	22	9	14	23
yagH	1	0	1	1	1	1	1	0	1	1	2	0	0	0	0	0
yagI	4	6	7	7	11	12	9	6	7	10	8	6	2	10	7	11
argF	13	7	5	12	8	4	5	2	8	5	6	7	8	3	10	9
ykgS	9	7	2	12	10	6	5	5	3	5	4	7	8	8	8	13
insA	1	2	2	4	2	2	1	4	4	3	3	6	3	2	10	4
yagJ	4	6	4	4	10	3	1	2	2	3	2	2	3	4	2	1
yagK	13	18	21	26	19	14	5	17	12	10	11	20	34	13	16	12
yagL	5	3	3	1	3	0	0	0	3	0	2	1	1	0	0	1
yagM	26	17	21	33	25	11	10	17	20	15	10	13	27	20	16	26
yagN	11	9	8	17	16	2	1	2	6	2	1	4	13	8	3	7
intF	16	9	4	13	10	2	1	3	3	3	0	4	12	2	6	11
ptwF	11	4	3	13	6	0	1	4	2	3	2	9	12	3	10	16
paoD	1	1	1	0	1	0	0	0	2	0	2	0	0	0	0	0
paoA	31	20	24	40	31	19	13	27	17	23	10	18	35	28	21	30
yagU	30	18	27	40	21	10	13	24	28	23	19	20	35	17	31	31
ykgJ	20	22	16	25	22	13	19	16	19	12	14	20	22	23	15	16
ecpC	1	2	2	3	2	0	1	1	3	2	1	1	2	0	3	0
ecpB	1	2	3	3	2	5	1	6	3	3	4	3	3	4	5	4
ecpA	8	6	4	4	8	2	2	5	4	2	3	3	2	7	3	4
ecpR	50	32	15	52	34	19	9	31	18	12	9	19	48	30	25	54
ykgL	40	27	31	38	31	13	18	22	29	22	23	39	37	22	40	38
ykgM	29	17	19	41	31	16	11	15	19	12	13	20	27	28	22	19
ykgR	33	32	26	48	39	19	19	25	30	17	14	24	37	34	26	26
ykgP	35	26	20	54	28	22	19	28	28	20	17	18	45	29	27	41
eaeH	38	16	24	57	28	18	17	22	25	18	21	28	45	32	30	39
insE1	3	6	7	1	6	1	2	5	4	3	3	5	4	5	3	1
ykgA	21	18	13	23	17	9	8	19	16	12	9	11	21	14	17	19
ykgQ	19	11	19	23	17	9	8	13	14	12	9	18	21	16	17	21
rclC	0	1	0	1	2	0	0	0	1	0	1	1	0	1	1	1
rclB	10	6	5	12	7	1	2	11	6	2	2	3	9	12	4	11
rclA	23	11	12	26	15	3	6	9	17	4	2	13	16	16	16	17
rclR	17	13	9	26	16	2	6	12	16	4	3	11	16	17	15	23
ykgE	38	14	20	62	22	17	14	18	31	17	20	26	43	23	39	41
ykgF	1	0	1	2	0	0	0	0	1	0	1	0	2	0	0	0
ykgH	10	15	11	24	12	9	8	14	20	6	6	7	18	13	13	16
betA	0	0	2	1	1	1	0	0	1	0	2	1	1	0	0	1
betB	0	1	2	0	0	1	2	0	3	0	1	1	0	0	1	0
betI	14	9	4	15	9	6	5	4	7	3	2	6	13	5	7	10
betT	10	6	4	15	7	2	5	4	5	3	6	9	13	7	9	14
yahA	28	18	28	59	23	9	10	25	36	17	17	36	46	24	51	42
yahB	7	3	7	12	4	2	2	5	7	2	3	4	11	6	4	6
yahC	19	10	13	22	15	9	10	15	13	10	6	16	17	20	17	23
yahD	23	16	15	22	17	6	10	13	20	10	9	10	17	13	15	19
yahE	2	5	3	1	4	2	2	2	3	2	3	2	1	1	2	1
yahI	18	18	24	32	27	28	40	20	23	51	28	21	24	18	31	12
yahJ	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0
yahK	19	17	21	35	25	8	18	17	23	26	21	21	26	17	31	26
yahL	21	14	16	22	10	6	10	13	11	9	3	13	30	10	8	23
yahM	25	15	21	39	35	15	15	19	20	22	16	29	20	32	36	30
yahN	7	11	8	14	13	6	5	6	7	4	5	8	12	9	6	13
yahO	13	8	6	14	6	5	5	8	9	4	6	11	12	7	13	7
prpR	24	11	10	21	18	7	9	8	7	13	5	15	16	11	16	24
prpB	24	15	8	21	16	5	9	10	11	13	7	11	16	7	18	24
prpC	20	40	18	30	23	21	48	26	42	38	22	20	22	20	34	7
prpD	5	5	1	2	2	2	2	2	2	0	1	1	4	1	0	0
prpE	4	2	5	1	3	0	3	0	2	3	4	4	3	1	0	2
codB	14	19	8	28	19	17	28	16	21	26	13	13	15	19	23	22
cynR	5	4	7	9	4	3	4	9	9	3	5	8	8	9	9	8
cynT	8	8	9	9	9	5	4	7	9	3	3	4	8	9	4	5
cynS	1	2	2	2	3	4	0	1	1	0	1	1	2	2	0	4
cynX	3	3	2	2	6	2	3	0	1	3	0	1	0	2	1	1
lacA	4	3	2	8	6	3	8	1	5	7	3	2	3	5	3	1
lacY	4	1	2	5	3	4	4	1	1	4	3	3	4	3	2	2
lacZ	7	9	7	8	12	3	5	7	5	10	6	7	7	5	9	9
lacI	6	2	5	7	6	3	6	1	6	6	6	4	2	4	5	2
mhpR	15	14	8	14	17	4	10	6	6	11	5	15	13	8	14	16
mhpA	16	15	6	14	14	5	10	8	8	11	4	14	13	6	17	15
mhpC	1	0	3	3	1	0	0	0	3	1	1	0	1	0	2	0
mhpD	1	0	0	1	0	0	0	0	1	0	2	1	0	1	1	0
mhpT	15	26	23	35	26	21	61	26	31	59	33	26	27	27	32	19
yaiL	6	8	6	5	7	4	6	5	3	6	8	4	9	3	2	7
frmB	3	5	4	4	4	9	6	6	4	4	7	4	5	7	3	6
frmA	2	1	5	4	1	1	1	2	6	1	1	0	3	1	2	2
frmR	3	6	7	20	8	20	8	11	9	11	8	6	17	10	11	15
insC1	41	33	22	40	29	23	32	26	25	28	21	28	41	25	28	33
yaiP	9	5	5	13	9	1	9	4	9	11	4	6	5	7	11	8
yaiS	47	40	14	71	49	7	9	23	16	15	4	18	61	26	25	42
tauA	44	15	24	69	22	6	9	15	28	14	8	39	57	18	48	48
tauB	1	0	3	0	1	0	1	0	1	2	2	0	0	0	0	0
hemB	52	28	20	63	45	18	13	22	19	21	6	16	46	32	23	37
yaiT	37	18	24	62	24	6	14	19	34	20	18	26	47	18	42	51
insE1	20	38	40	30	41	20	34	19	25	23	15	52	42	34	26	31
yaiV	9	5	3	8	5	2	5	5	5	5	4	2	7	5	4	5
ampH	23	27	17	28	31	16	20	17	15	25	8	16	25	16	20	26
sbmA	26	16	17	28	20	8	20	17	16	25	16	27	25	15	31	23
yaiW	2	0	3	0	0	0	0	0	2	0	1	1	1	0	0	0
yaiY	22	20	12	22	23	11	9	13	17	10	7	12	14	15	17	22
yaiZ	22	12	13	22	17	7	9	12	15	10	11	20	14	17	23	22
ddlA	36	23	24	44	30	13	15	21	20	18	10	25	41	25	24	50
iraP	50	25	21	44	24	10	15	24	25	18	13	23	41	20	30	36
phoA	8	4	6	8	5	1	3	4	4	3	2	8	9	5	6	12
psiF	7	6	6	7	8	4	8	5	6	12	8	6	4	3	10	8
yaiC	7	5	3	8	2	4	4	11	6	5	3	4	9	7	8	5
proC	6	2	6	9	8	5	5	8	4	9	5	8	5	10	10	11
yaiI	11	8	8	9	10	5	5	6	10	9	5	2	5	4	8	6
aroL	9	10	5	21	8	4	7	9	10	5	8	9	17	9	13	22
yaiA	5	3	3	3	1	2	5	2	4	2	1	2	4	3	1	4
aroM	21	16	13	22	22	5	9	14	13	13	9	15	17	15	19	18
yaiE	3	4	7	2	6	6	2	4	3	6	2	5	4	2	5	4
ykiA	9	1	5	20	7	9	4	9	8	5	3	2	12	14	6	16
rdgC	10	7	5	12	8	6	9	4	7	8	7	4	9	7	4	9
mak	9	4	4	12	4	7	9	5	7	8	6	7	9	7	8	10
araJ	4	3	6	11	5	3	4	10	6	8	12	10	9	7	14	10
sbcD	11	5	8	21	13	5	12	5	10	14	6	11	11	11	14	15
phoB	15	11	5	21	14	6	12	8	11	14	5	5	11	10	13	11
phoR	1	3	4	4	3	1	3	6	4	5	3	1	4	4	3	5
brnQ	20	19	13	36	23	16	20	23	13	24	14	23	32	23	27	43
proY	3	4	1	6	3	3	3	2	4	3	5	6	3	1	10	10
malZ	6	1	10	16	9	14	6	9	11	7	9	7	7	16	10	10
acpH	6	6	6	5	3	5	4	9	6	5	5	3	8	5	4	3
queA	3	3	9	5	4	5	4	6	5	5	5	6	8	6	3	6
tgt	4	3	2	0	0	1	5	3	4	3	4	5	2	2	5	5
yajC	3	0	1	4	0	0	0	0	2	0	1	0	4	0	1	2
secD	4	0	1	2	0	2	0	1	1	1	1	0	2	1	1	4
secF	0	0	1	1	0	0	1	0	2	1	1	1	0	0	1	0
yajD	9	4	5	11	6	6	7	4	10	4	5	7	4	10	9	12
tsx	22	19	11	26	19	10	18	11	17	14	6	18	19	15	20	21
yajI	9	14	7	8	5	6	11	12	14	9	8	3	9	5	8	10
nrdR	10	3	12	8	8	8	11	7	5	9	6	14	9	14	5	9
ribD	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ribE	9	3	5	5	3	7	8	5	7	8	5	0	4	5	2	1
nusB	3	0	2	2	0	1	0	0	1	0	2	1	2	1	0	1
thiL	2	4	4	5	4	7	6	4	5	5	5	3	4	5	3	7
yajO	13	10	19	11	13	6	6	11	14	15	8	8	13	6	12	7
dxs	3	1	2	3	1	2	0	1	0	1	1	1	4	0	1	1
