; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102320_q0uO0g.fasta.fasta -format fasta -return occ -table -1str -quick_if_possible -seqtype dna -bg upstream-noorf -org Saccharomyces_cerevisiae -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.121001_FPd5b0_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102320_q0uO0g.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.121001_FPd5b0_2nt.tab
; Count overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
GCV3	17	19	10	24	26	7	7	16	9	8	11	9	19	22	9	18
PTA1	24	15	12	24	13	10	10	19	13	11	5	21	26	16	22	21
ERV46	21	21	19	24	22	5	10	12	16	11	10	15	26	13	13	24
CDC24	28	18	25	28	15	10	6	16	23	10	12	14	32	10	16	12
CLN3	24	25	17	38	31	33	11	56	17	15	8	17	31	58	22	96
CYC3	85	32	31	38	40	17	17	25	22	26	13	17	40	24	17	55
CDC19	47	18	20	43	32	18	7	40	17	11	10	29	32	50	30	95
YAL037C-A	54	22	26	55	25	18	14	28	35	18	18	17	43	27	29	70
YAL037W	70	17	27	55	29	18	14	27	27	18	18	22	43	35	25	54
RBG1	19	8	21	20	16	11	7	18	20	16	11	14	14	16	22	40
FUN12	40	14	18	20	22	11	7	21	16	16	11	8	14	20	16	19
MTW1	41	18	11	27	18	7	5	14	11	8	9	16	27	12	18	39
FUN19	40	32	30	42	44	29	16	25	28	24	30	28	31	30	34	36
POP5	46	32	20	31	33	28	13	41	23	20	14	32	28	35	42	61
PRP45	37	15	11	29	17	12	5	19	14	6	6	10	24	19	14	35
GIP4	31	13	15	23	11	4	6	13	21	12	11	13	19	6	24	31
SNC1	31	13	13	23	24	11	6	15	6	12	4	13	19	21	11	31
MYO4	81	28	25	36	25	19	9	40	23	9	13	19	41	38	17	76
FRT2	75	21	44	34	22	15	7	26	35	9	18	31	42	25	24	71
SAW1	40	6	14	21	8	3	2	6	17	3	10	13	16	7	17	16
DRS2	70	26	28	51	33	17	7	24	22	20	19	20	50	18	27	67
MAK16	53	18	26	45	25	8	4	18	28	12	10	16	36	17	25	77
LTE1	51	23	15	37	19	22	13	29	20	13	2	15	35	26	20	58
PMT2	48	28	17	26	22	10	18	14	21	8	8	19	27	19	13	26
FUN26	57	24	13	35	25	24	13	37	17	10	3	11	30	41	12	62
CCR4	30	19	18	17	22	15	10	14	12	12	12	12	21	14	8	17
ATS1	26	15	20	24	19	8	15	17	16	19	13	19	24	17	19	31
FUN30	31	19	17	24	19	13	15	20	17	19	8	15	24	16	19	26
YAL018C	66	33	22	55	29	17	14	21	26	14	19	26	55	17	30	55
PSK1	50	17	29	38	29	18	14	23	16	16	18	38	39	33	27	94
TPD3	80	31	35	52	27	10	9	28	35	12	16	19	56	21	21	47
NTG1	18	4	4	18	5	4	2	11	4	2	2	5	17	11	5	36
SYN8	34	17	15	19	18	11	10	16	18	14	4	8	15	12	15	23
DEP1	23	8	16	19	15	4	10	15	12	14	11	17	15	18	18	34
CYS3	39	18	16	27	24	14	5	9	14	11	5	11	22	9	15	28
SWC3	20	8	14	24	11	9	11	9	10	10	3	15	26	13	10	21
MDM10	21	11	12	15	7	8	5	13	14	4	1	7	17	10	8	34
SPO7	34	7	13	15	8	1	5	12	10	4	8	11	17	14	7	21
FUN14	39	14	20	27	18	6	4	11	13	7	14	18	30	12	14	32
ERP2	66	29	22	47	34	21	13	32	24	15	12	24	40	36	28	56
TRN1	57	27	33	57	30	13	11	27	39	12	12	24	48	30	31	48
SSA1	81	15	39	37	27	10	16	15	36	13	26	32	27	30	26	69
EFB1	65	35	23	32	35	21	17	34	28	17	10	17	28	33	22	82
VPS8	88	36	23	53	26	9	16	21	32	8	19	22	54	19	23	50
TFC3	94	23	23	54	29	7	11	23	21	19	11	19	51	20	25	69
NUP60	74	21	26	51	30	11	9	25	26	12	6	25	42	31	28	82
ERP1	51	20	11	24	13	10	9	21	13	3	7	15	28	21	11	22
SWD1	22	15	21	24	11	7	9	11	21	3	10	20	28	13	13	51
RFA1	46	25	15	26	18	9	16	31	16	16	9	12	31	24	14	36
SEN34	36	12	31	26	14	9	16	15	24	16	9	25	31	16	18	46
YAR009C	37	34	15	35	36	15	8	30	19	13	8	11	28	27	20	19
YAR010C	47	19	30	58	17	7	6	20	33	7	12	18	57	17	22	29
TA(UGC)A	29	18	20	58	22	12	6	30	17	7	7	19	57	33	17	47
BUD14	42	20	34	47	22	11	14	34	32	15	20	39	48	34	38	49
ADE1	49	39	34	48	38	20	14	33	35	15	11	20	49	30	22	42
KIN3	64	21	31	60	32	7	7	22	33	15	10	21	47	25	30	74
CDC15	38	25	24	43	30	13	17	43	23	31	21	27	39	35	40	50
PAU7	52	23	35	37	34	28	11	31	28	27	23	27	34	26	35	48
YAR023C	69	29	30	43	34	22	13	28	29	15	14	23	40	31	24	55
SUP56	56	33	23	54	30	22	16	26	28	17	11	28	52	22	34	47
TS(AGA)A	47	25	24	56	33	6	12	23	19	11	23	36	52	32	30	70
UIP3	76	23	22	69	34	23	10	28	29	13	18	13	51	37	23	30
YAR028W	52	20	19	49	28	12	17	18	21	21	14	19	39	23	24	37
YAR029W	67	23	30	43	32	18	16	21	27	14	24	36	37	32	32	47
PRM9	39	20	16	28	19	9	6	17	18	12	12	11	26	10	19	27
MST28	39	27	24	34	34	12	11	17	19	18	15	22	31	17	24	29
YAT1	49	39	25	45	57	44	26	20	21	27	21	20	32	36	17	20
YAR035C-A	12	5	10	6	4	9	6	11	8	5	12	16	9	11	13	63
SWH1	63	16	11	6	13	12	6	10	11	5	9	5	9	8	4	12
FLO1	59	27	33	40	33	11	11	35	25	21	21	25	43	31	27	57
YAR061W	65	30	30	41	37	17	20	26	28	24	18	25	36	29	27	46
YAR062W	20	12	11	15	10	5	5	18	16	6	11	10	13	15	15	22
YAR064W	52	27	34	36	29	19	20	24	39	21	27	28	29	24	35	55
YAR066W	45	18	25	32	31	20	19	44	12	36	16	35	32	40	40	54
YAR068W	22	45	14	25	40	33	22	70	12	29	14	21	33	58	25	36
PHO11	80	31	42	37	40	17	17	15	34	17	14	29	37	24	20	45
YBL112C	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
YBL111C	50	26	32	46	25	10	16	34	40	22	15	20	39	27	34	63
PAU9	48	35	30	39	36	21	16	37	37	24	15	27	31	30	42	31
TL(UAA)B1	64	30	27	69	29	16	10	24	34	6	19	20	63	27	22	39
YBL107C	32	14	19	25	12	10	9	16	17	9	9	18	29	14	16	45
SRO77	47	17	21	40	22	7	9	16	23	15	9	14	33	15	22	50
PKC1	59	30	43	42	31	16	15	26	29	18	12	25	55	25	14	39
YBL104C	46	21	28	75	28	7	11	19	30	19	15	28	66	19	38	49
RTG3	47	33	28	42	32	17	18	37	25	20	20	22	46	34	21	57
SFT2	58	20	35	39	21	19	18	26	33	22	17	37	40	22	39	53
ECM21	11	4	11	9	4	7	3	9	10	5	7	5	10	8	6	17
YBL100W-C	17	5	9	9	6	7	3	11	8	5	7	4	10	10	4	11
YBL100W-B	65	27	33	69	29	8	8	25	38	8	12	26	62	27	31	31
YBL100W-A	65	27	33	69	29	8	8	25	38	8	12	26	62	27	31	31
TF(GAA)B	40	32	23	56	35	14	15	33	22	12	7	34	55	38	30	53
ATP1	58	24	22	50	36	30	18	31	22	17	11	18	39	43	17	63
BNA4	87	19	19	45	17	19	9	23	18	11	9	19	48	19	20	71
BRN1	29	13	16	43	14	6	8	13	12	11	9	17	45	11	17	38
YBL095W	19	6	10	14	6	6	7	7	14	6	10	6	10	8	9	42
ROX3	63	27	29	36	28	30	22	28	39	22	21	23	26	28	33	44
RPL32	50	30	36	51	35	12	12	21	41	17	12	20	41	21	31	69
SCS22	15	10	12	20	9	7	5	10	10	8	9	12	24	6	12	12
MAP2	25	10	14	14	9	4	2	15	13	7	11	7	17	9	11	27
MRP21	27	7	15	14	11	11	2	14	9	7	4	10	17	13	9	25
AVT5	32	9	9	22	11	6	8	11	10	6	3	12	19	15	11	30
TEL1	72	20	34	50	30	5	9	16	31	11	13	16	42	24	16	48
RPL23A	65	35	24	45	36	25	10	26	19	17	9	19	49	20	21	42
YBL086C	46	22	35	40	28	22	18	29	29	19	27	25	40	33	21	65
BOI1	87	30	30	35	26	15	19	30	34	19	24	23	34	26	28	39
CDC27	39	16	18	32	19	9	7	14	15	11	8	16	31	14	17	38
ALG3	53	24	36	40	25	11	14	34	36	23	16	34	39	26	43	45
YBL081W	35	21	28	46	32	19	16	30	25	18	12	21	38	39	20	99
PET112	59	24	36	44	28	22	9	22	26	7	10	38	49	28	26	71
NUP170	74	35	25	42	26	9	12	33	30	10	19	24	45	27	27	61
ATG8	45	15	18	40	14	8	10	9	20	6	16	19	38	13	17	23
ILS1	31	13	10	20	11	7	8	17	13	10	4	7	19	13	12	41
SSA3	32	14	17	29	16	5	9	10	20	11	20	17	25	9	22	16
AAR2	92	25	34	39	33	14	14	16	35	18	27	23	30	20	28	51
RPS8A	55	23	22	28	22	10	5	17	23	9	9	15	28	12	20	33
YBL071C-B	30	21	20	27	23	25	15	35	19	21	16	23	26	31	29	59
KTI11	59	23	35	27	29	16	15	20	31	21	25	21	26	19	23	30
AST1	65	23	29	54	34	12	13	28	31	22	20	17	41	30	28	52
PRS4	34	21	14	40	27	19	9	31	15	16	7	14	33	30	22	50
UBP13	51	24	28	44	31	22	16	25	29	16	18	22	36	33	23	81
SEF1	28	13	7	33	11	5	10	21	9	9	8	11	33	21	11	24
PRX1	45	19	35	43	26	25	23	26	32	28	24	22	39	28	25	59
KIP1	54	29	32	50	33	19	24	24	29	28	19	24	48	25	25	36
SKT5	52	29	25	50	34	16	14	33	27	19	8	25	44	32	32	59
YEL1	61	25	36	49	33	7	15	24	35	20	20	30	42	27	34	41
YBL059C-A	9	7	6	2	7	0	0	2	4	2	0	3	4	1	3	3
YBL059W	3	3	2	2	3	0	0	6	1	2	0	7	4	4	7	9
SHP1	21	11	10	24	10	4	7	6	7	5	9	13	28	7	8	21
PTH2	36	17	17	19	13	10	8	35	15	13	10	14	25	27	16	41
PTC3	41	14	35	19	16	10	8	17	27	13	10	17	25	15	13	36
YBL055C	56	35	44	18	35	27	17	41	33	37	22	17	28	21	26	42
YBL054W	40	22	35	34	27	12	19	36	34	22	18	33	30	37	36	64
SAS3	55	18	32	52	31	9	11	24	28	15	18	28	44	32	28	74
PIN4	33	21	30	25	23	12	9	25	23	15	15	21	31	21	20	40
SEC17	40	21	25	25	20	15	9	30	21	15	12	21	31	23	23	33
MOH1	39	31	36	32	24	19	19	43	31	25	14	25	44	30	26	61
EDE1	47	22	21	37	23	9	14	22	26	16	11	15	30	22	22	45
PSY4	45	15	22	37	22	11	14	21	22	16	9	22	30	26	23	47
COR1	75	33	29	42	36	31	15	23	29	17	16	17	39	24	19	35
YBL044W	35	17	23	42	19	16	15	29	24	17	31	33	39	29	36	75
ECM13	26	14	15	39	21	11	12	18	12	17	5	16	35	20	18	41
FUI1	49	21	20	39	28	20	22	39	24	31	20	21	28	37	34	66
PRE7	60	16	45	31	21	9	18	27	34	27	26	36	37	23	33	56
ERD2	57	23	28	42	25	17	17	38	28	19	15	24	40	38	26	62
YBL039W-B	63	23	39	43	26	14	18	26	38	17	18	24	42	30	21	57
URA7	52	16	30	36	28	13	6	25	20	11	14	28	35	32	22	89
MRPL16	89	28	25	36	22	14	6	30	32	11	13	16	35	20	28	52
APL3	34	22	22	32	20	9	10	17	24	11	10	17	31	15	20	28
YBL036C	41	19	17	28	19	8	3	19	16	8	7	9	29	14	13	21
POL12	34	11	15	23	14	2	6	11	12	8	5	14	23	12	13	33
STU1	25	14	12	31	14	8	10	10	11	10	8	13	32	10	12	45
RIB1	45	25	35	31	20	10	18	30	24	26	34	37	47	17	34	56
HEK2	56	37	30	31	34	34	18	35	17	26	10	25	47	24	20	45
SHE1	60	22	14	45	26	4	13	14	13	14	12	16	42	17	17	39
PET9	40	32	23	58	37	19	21	20	23	19	17	25	53	28	23	51
YBL029C-A	75	26	31	36	27	21	26	20	33	25	30	28	33	22	29	37
YBL029W	51	17	17	47	20	19	15	34	16	19	8	27	45	33	30	101
YBL028C	52	30	40	35	29	27	18	27	37	18	22	27	38	27	24	48
RPL19B	56	30	29	35	25	24	20	38	29	19	27	25	41	34	24	43
LSM2	65	27	25	45	28	16	11	36	23	19	15	19	46	29	24	71
RRN10	48	15	25	51	25	15	12	17	26	14	12	25	41	25	27	63
NCL1	44	29	34	43	25	15	17	32	27	21	9	32	54	24	29	64
MCM2	52	26	12	38	20	10	8	21	16	4	9	14	40	18	15	43
PIM1	37	15	26	30	19	7	11	16	22	20	20	34	30	12	38	46
HAP3	34	22	20	18	24	14	13	27	14	21	5	11	22	21	13	26
RFT1	26	11	27	18	13	5	13	20	21	21	14	22	22	14	24	34
APN2	33	11	17	25	14	8	3	10	12	7	3	11	26	9	10	27
POP8	46	20	31	38	30	6	9	15	25	13	13	19	33	21	18	31
PEP1	65	25	32	27	26	26	17	40	22	20	15	32	36	37	25	54
FUS3	52	32	31	36	31	5	10	37	27	16	21	22	40	30	24	85
ACH1	48	34	28	32	40	29	30	25	25	40	29	25	30	20	32	32
TI(AAU)B	55	26	21	61	31	12	7	33	25	8	9	25	53	37	30	66
TG(GCC)B	43	24	25	55	28	9	15	20	24	10	25	39	53	29	33	67
RRN6	19	10	18	25	9	13	9	25	19	14	13	14	25	20	20	53
FMT1	53	14	25	25	20	13	9	18	20	14	13	10	25	19	9	19
SCT1	33	7	20	20	14	18	9	19	12	13	14	15	22	21	11	27
YBL010C	47	13	16	19	14	2	9	10	13	11	4	13	22	9	12	29
ALK2	29	13	10	19	12	4	9	16	9	11	2	13	22	13	14	47
YBL008W-A	31	10	12	17	12	4	2	9	8	6	3	10	18	7	11	23
HIR1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLA1	24	12	21	24	12	6	8	10	19	9	7	12	25	9	11	10
LDB7	45	17	28	25	23	8	12	18	26	23	17	16	22	13	25	21
PDR3	21	16	18	25	25	17	12	28	13	23	8	17	22	26	23	45
YBL005W-B	52	17	34	72	20	10	9	23	37	8	17	31	66	27	33	43
YBL005W-A	52	17	34	72	20	10	9	23	37	8	17	31	66	27	33	43
TS(AGA)B	49	17	27	78	27	16	7	16	33	4	16	24	62	29	27	43
UTP20	52	19	27	44	21	14	16	19	19	14	15	42	50	23	32	71
HTA2	44	30	29	45	29	10	22	26	31	22	19	25	45	25	27	70
HTB2	52	28	21	42	28	17	20	30	18	22	14	33	46	28	32	68
ECM15	58	27	29	39	30	19	12	34	26	15	8	20	40	34	20	88
NTH2	45	13	25	56	24	15	13	15	21	17	13	18	50	22	17	59
RER2	41	14	11	17	11	11	7	18	11	6	9	14	20	15	13	21
COQ1	21	14	18	17	13	9	7	11	15	6	11	14	20	11	11	41
GPI18	41	6	18	21	9	7	5	16	16	8	8	6	20	16	7	33
RCR1	33	6	16	21	7	8	5	18	16	8	7	6	20	16	9	41
UGA2	45	22	27	50	35	15	15	22	18	19	19	22	45	32	17	58
DSF2	51	37	26	29	40	23	26	33	27	28	14	28	25	34	31	47
FLR1	65	24	31	51	27	9	17	30	35	24	23	20	44	26	30	43
HHF1	74	21	26	45	25	30	23	19	31	21	21	27	36	25	29	46
HHT1	49	29	15	42	30	22	23	34	22	20	31	19	34	38	23	68
IPP1	42	26	28	44	26	21	21	28	29	17	18	31	43	32	28	65
YBR012W-B	52	15	31	78	25	9	9	23	33	12	11	25	66	30	30	50
YBR012W-A	52	15	31	78	25	9	9	23	33	12	11	25	66	30	30	50
YBR013C	46	31	33	56	34	14	11	27	31	11	12	26	55	30	24	56
TT(AGU)B	56	26	27	56	24	12	11	33	30	11	14	31	55	31	34	46
GRX7	56	21	19	37	21	13	11	17	20	9	13	19	36	19	19	42
MNN2	62	18	39	36	28	11	21	25	23	27	25	41	42	28	31	42
YBR016W	41	39	26	26	34	33	24	53	23	40	14	16	33	33	29	35
KAP104	58	16	34	51	26	14	9	26	25	16	10	34	50	28	33	69
GAL7	66	19	35	43	31	15	15	24	26	25	24	27	41	26	27	55
GAL10	54	16	32	47	24	18	24	23	28	27	28	27	43	28	26	54
GAL1	62	31	24	44	27	22	24	33	28	25	16	18	45	28	23	49
FUR4	70	25	36	43	25	21	14	28	46	11	16	15	33	31	22	63
POA1	26	19	13	45	24	9	8	34	14	15	5	15	39	32	22	72
CHS3	53	25	27	46	33	24	20	25	26	25	13	29	40	28	32	53
SCO2	54	24	30	39	21	22	19	31	32	20	28	26	41	27	28	57
OLA1	58	23	34	32	25	17	15	29	28	18	9	32	36	29	29	85
ETR1	36	23	19	41	19	14	8	20	22	8	21	24	41	16	28	64
YBR028C	66	17	19	41	12	7	5	23	18	8	7	18	46	15	21	42
CDS1	39	31	23	51	41	19	13	35	25	21	15	22	40	37	32	55
YBR030W	63	20	34	56	32	16	12	22	37	22	14	27	41	24	40	39
RPL4A	44	13	6	24	17	4	6	10	9	5	1	6	17	15	8	29
EDS1	47	33	34	33	33	25	19	32	27	23	17	30	41	27	27	51
HMT1	53	11	15	34	12	11	6	13	22	6	12	9	27	14	15	31
PDX3	43	35	37	39	38	21	11	33	23	25	13	24	51	22	24	60
CSG2	30	13	16	22	12	8	10	18	15	12	9	14	24	16	14	16
SCO1	71	18	28	45	18	16	10	24	26	6	23	25	47	28	20	39
CHS2	39	25	24	45	20	23	10	28	28	6	16	18	47	26	18	71
ATP3	65	28	41	47	20	9	21	19	47	12	17	29	49	21	26	48
FIG1	100	24	21	45	22	9	5	19	25	7	8	23	44	15	29	60
FAT1	76	22	20	43	17	9	14	19	23	11	6	15	45	17	15	48
CST26	43	13	19	29	19	2	8	9	14	9	11	14	28	14	11	22
QDR3	43	19	21	38	21	16	12	27	20	15	13	17	36	27	19	46
TCM62	54	26	21	43	22	29	20	31	24	16	18	29	44	31	27	64
TV(UAC)B	38	23	24	75	34	17	12	24	26	11	13	20	62	36	22	62
GIP1	55	16	14	43	17	9	10	27	18	12	12	15	37	26	21	81
ZTA1	27	20	23	30	18	10	13	19	26	11	4	16	30	19	17	37
FMP23	37	16	19	30	17	4	13	23	19	11	10	20	30	26	18	27
RPS11B	56	19	32	43	26	18	14	28	21	21	13	28	46	28	25	51
REB1	50	31	15	28	34	17	9	23	14	15	15	15	25	20	20	32
REG2	54	26	25	39	23	20	17	34	27	23	29	30	40	25	38	49
RFS1	39	25	20	36	29	13	12	14	17	16	11	10	36	14	10	19
YBR053C	67	25	36	39	27	14	13	30	27	19	21	31	47	25	28	50
YRO2	69	26	18	50	23	17	9	35	18	6	7	20	54	34	17	96
PRP6	45	16	18	28	15	7	7	14	15	7	6	18	32	13	14	45
TL(UAA)B2	45	18	14	28	14	6	7	18	13	7	7	16	32	15	15	45
YBR056W	30	9	8	18	8	2	1	17	12	5	11	3	16	12	10	29
TQ(UUG)B	68	24	26	57	29	7	10	26	30	9	11	31	48	32	35	56
MUM2	40	27	15	49	31	5	7	17	16	12	4	16	44	16	22	56
UBP14	37	14	24	40	22	5	4	10	27	9	15	11	29	13	19	26
TSC3	41	19	26	32	21	5	12	9	26	11	8	13	31	12	12	15
AKL1	54	25	22	44	26	26	12	33	25	18	6	18	39	29	27	59
ORC2	59	23	28	55	33	18	10	29	24	20	12	27	49	30	33	49
TRM7	37	18	21	23	16	4	6	15	15	8	3	11	31	11	8	28
YBR062C	49	22	14	38	21	16	10	23	18	11	11	18	35	21	23	38
YBR063C	53	21	21	40	19	8	13	23	28	11	15	19	34	23	24	46
ECM2	61	18	27	29	17	11	10	15	25	11	19	19	33	13	18	31
NRG2	57	26	26	40	36	21	18	37	21	29	17	19	34	36	26	56
TIP1	57	17	19	44	22	23	15	37	23	18	21	25	36	38	32	72
BAP2	50	23	28	44	27	20	18	38	26	33	22	20	43	27	33	47
TAT1	69	23	27	38	27	24	18	27	24	19	24	28	38	29	26	58
ALG14	44	18	24	42	22	17	24	26	18	24	10	32	44	31	26	73
YBR071W	73	32	26	42	26	10	24	24	31	24	17	18	44	18	22	44
HSP26	60	32	25	41	35	31	16	32	19	18	12	29	44	34	24	47
YBR072C-A	10	8	8	14	4	7	11	14	7	5	5	11	19	16	5	47
RDH54	47	11	14	14	5	5	11	8	16	5	7	8	19	7	4	10
YBR074W	54	14	14	35	18	6	8	13	14	11	10	11	31	14	14	29
ECM8	56	38	22	39	28	19	18	35	27	17	15	24	45	26	27	63
SLM4	54	19	32	33	25	22	25	22	36	29	31	28	23	24	35	61
ECM33	52	31	24	33	36	22	18	40	23	19	12	18	30	44	18	79
RPG1	42	12	19	35	21	19	5	18	17	7	9	14	28	25	15	49
SEC18	34	19	22	33	18	11	12	24	11	14	8	24	45	21	15	50
SPT7	75	23	27	53	25	9	5	30	28	12	19	24	51	25	32	61
TR(UCU)B	61	28	28	57	39	21	6	24	22	13	10	20	52	28	21	69
TD(GUC)B	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	4
UBC4	73	26	27	45	33	23	12	36	23	18	15	18	41	38	20	51
TEC1	47	25	26	40	33	36	18	32	28	26	21	20	30	33	30	54
MIS1	41	31	23	34	37	13	18	27	20	17	6	23	31	34	19	49
RPL19A	39	28	32	32	35	24	20	33	30	25	27	24	27	35	27	61
AAC3	67	23	31	35	24	17	18	27	39	20	21	27	27	26	37	60
YBR085C-A	33	24	28	43	29	18	15	32	19	27	32	28	46	26	31	68
IST2	62	26	25	39	33	13	10	33	26	18	17	16	30	32	25	94
RFC5	85	17	36	41	24	8	10	23	34	17	11	32	36	24	37	64
POL30	36	29	18	31	30	15	12	38	13	17	3	15	36	34	15	80
YBR090C	7	4	7	13	4	1	0	6	4	4	1	9	16	1	10	8
MRS5	39	6	18	25	7	5	5	8	13	7	5	13	28	7	11	15
PHO3	90	18	28	47	25	18	8	18	22	17	15	18	46	16	21	38
PHO5	67	27	29	46	36	9	19	26	28	25	18	25	38	29	30	47
PBY1	59	26	30	41	29	12	17	30	29	20	25	24	39	29	27	62
RXT2	42	14	22	26	13	8	11	20	23	13	9	15	26	17	19	43
YBR096W	43	15	20	26	19	9	11	22	17	13	8	14	26	23	13	42
VPS15	39	9	17	27	15	3	3	13	9	6	7	12	30	15	7	24
MMS4	25	8	10	22	10	3	6	7	7	7	6	12	24	8	10	33
FES1	44	22	27	30	22	10	7	26	21	13	17	20	35	20	20	33
EXO84	48	18	22	28	19	15	7	25	24	11	9	24	26	22	30	56
SIF2	56	24	25	28	30	9	7	22	22	11	15	18	26	24	19	48
YMC2	45	17	23	30	18	6	14	13	23	14	12	21	29	15	21	48
VID24	48	18	22	37	26	21	25	28	26	22	27	27	25	40	27	80
PHO88	62	31	24	31	27	34	31	31	28	31	21	13	30	28	17	60
IML3	32	18	10	33	12	10	9	16	25	6	16	14	25	13	25	26
AIM3	26	14	16	33	25	16	9	10	13	6	10	18	25	25	12	32
CMD1	62	33	31	47	34	20	10	30	37	20	8	19	41	21	35	51
ALG1	53	18	30	48	35	8	10	30	22	20	21	33	40	37	35	59
YSA1	13	9	14	26	19	10	10	13	12	13	15	14	18	20	16	42
SUS1	42	14	13	26	16	15	10	14	20	13	10	9	18	12	19	13
CYC8	46	32	18	22	28	25	22	46	15	17	12	26	30	47	17	96
RAD16	59	30	23	23	27	40	16	36	18	18	16	29	31	32	26	75
LYS2	48	24	25	42	26	16	13	32	29	20	10	24	37	27	34	57
TKL2	42	25	26	45	28	18	15	38	27	19	26	27	42	37	32	52
TEF2	49	30	25	36	27	23	16	41	22	18	17	21	42	37	19	76
MUD1	42	14	15	29	15	10	4	17	13	7	13	11	30	16	11	42
CBP6	65	21	25	49	28	13	13	21	20	19	10	23	47	22	24	39
GRS1	49	31	22	54	34	5	22	26	31	21	10	24	43	30	31	66
MRPL36	42	13	10	23	17	11	8	9	9	7	5	14	21	14	12	22
TFC1	63	24	24	49	25	13	8	33	26	9	11	27	46	33	30	78
PTC4	48	25	18	36	25	28	19	51	19	21	7	18	36	48	21	79
TPS1	32	26	48	27	40	19	14	32	32	32	43	31	29	28	32	34
VMA2	29	12	25	19	19	8	6	4	17	10	6	19	20	7	15	41
ATG14	41	11	15	23	5	5	4	11	16	4	6	13	28	6	13	35
OPY1	31	16	15	28	17	8	7	10	12	8	11	12	30	10	10	26
SHE3	21	16	15	26	18	9	13	17	9	13	8	21	29	19	16	42
CCZ1	42	21	17	26	16	8	13	15	19	13	9	16	29	9	18	21
AGP2	33	20	17	30	21	19	13	25	10	18	14	23	35	22	21	39
