; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Count overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
caiD	20	6	7	8	9	5	1	6	7	6	6	3	5	4	8	6
caiC	9	5	4	3	5	5	7	3	4	8	4	4	3	2	5	1
caiB	7	5	7	10	8	6	13	6	7	16	7	6	8	6	8	7
caiA	7	1	3	2	2	4	0	0	2	0	1	1	2	1	1	2
caiT	83	33	17	55	41	17	16	11	23	11	9	19	41	25	20	49
fixA	49	19	11	55	20	9	16	17	25	11	17	33	41	23	41	83
fixB	0	1	1	1	1	0	0	1	1	1	3	0	1	0	1	1
fixC	0	2	3	1	4	4	1	7	2	7	6	0	0	3	5	4
yaaU	8	6	1	3	4	2	3	3	3	3	2	3	3	2	5	4
kefF	10	7	3	11	5	2	5	9	6	5	5	4	9	7	7	11
folA	14	13	12	12	14	5	13	8	12	9	8	12	12	13	8	25
apaH	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
apaG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
surA	8	2	2	4	2	2	3	0	3	2	2	5	3	1	5	7
lptD	17	22	8	24	20	14	18	12	14	12	11	14	19	16	14	18
djlA	18	14	12	24	14	11	18	8	16	12	14	22	19	14	20	17
yabP	27	17	17	20	12	11	16	16	21	17	18	15	21	10	20	35
rluA	2	0	1	0	0	1	2	0	2	1	1	0	0	0	0	0
rapA	15	11	10	14	14	14	7	7	10	12	5	6	11	5	10	12
polB	9	6	4	5	7	4	1	4	4	4	3	2	4	3	5	8
araD	14	14	14	19	17	14	34	16	15	41	16	10	15	13	17	14
araA	0	2	0	1	1	0	1	0	2	0	1	0	1	0	0	0
araB	31	26	14	25	29	22	16	22	14	19	9	13	21	22	17	37
araC	37	13	22	25	17	9	16	14	22	19	22	26	21	14	29	31
yabI	4	6	6	6	8	3	4	3	7	5	6	4	3	4	6	9
thiB	15	12	5	6	8	10	14	12	10	12	10	8	6	10	11	13
sgrR	8	2	4	6	2	3	0	4	4	2	4	3	6	2	4	12
sgrS	12	3	4	6	4	4	0	4	2	2	3	2	6	4	2	8
sgrT	14	3	6	7	5	7	1	4	4	4	7	3	6	4	4	8
setA	5	1	1	1	0	1	4	2	1	3	2	1	1	2	0	1
leuD	0	2	1	0	2	1	0	0	1	1	1	0	0	0	0	0
leuC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
leuA	14	6	7	2	8	9	8	2	5	11	4	2	2	2	2	7
leuL	66	23	16	65	40	14	20	18	19	25	12	19	46	30	27	59
leuO	49	16	18	70	28	9	13	16	30	17	17	22	46	24	37	87
ilvI	24	7	15	32	14	11	6	19	17	11	14	20	23	21	27	55
ilvH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
cra	18	9	8	16	15	7	6	6	7	13	10	8	11	5	13	26
mraZ	52	32	18	36	28	18	28	27	26	33	27	24	32	19	37	62
ftsI	2	2	0	1	0	0	3	0	2	2	1	0	1	0	0	0
murD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
murC	6	0	4	5	1	1	3	1	4	4	1	4	5	1	5	7
ftsZ	4	5	5	4	4	2	5	2	8	4	5	0	2	2	2	5
lpxC	7	5	4	8	1	3	6	6	8	5	9	6	8	3	9	11
secM	23	13	7	19	11	4	13	16	12	14	10	11	16	13	17	30
secA	6	5	1	5	4	2	4	3	2	3	3	1	5	2	1	13
mutT	7	2	6	2	2	1	2	4	3	5	3	3	5	1	3	9
yacG	3	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0
coaE	22	11	7	23	13	7	14	11	11	14	11	10	17	13	13	26
guaC	26	10	11	23	13	11	14	7	13	14	7	11	17	11	13	22
hofB	0	0	1	0	1	0	1	0	1	2	2	0	0	0	0	0
ppdD	22	7	7	10	10	19	16	15	8	16	6	8	6	18	10	23
nadC	2	3	6	8	3	4	2	7	4	4	4	7	10	6	6	10
ampD	10	7	7	8	6	4	2	6	6	4	4	3	10	4	3	2
aroP	68	43	17	44	42	11	17	23	25	16	13	22	37	24	29	68
pdhR	71	24	26	44	31	13	15	18	25	16	12	39	37	25	39	64
aceE	23	7	13	13	8	6	7	6	12	7	7	8	13	8	7	14
aceF	4	0	2	1	0	0	0	0	2	0	1	1	2	0	0	0
lpd	30	16	22	23	13	18	19	11	22	19	27	22	26	8	22	25
yacH	33	17	21	24	23	18	20	21	21	19	17	21	18	28	19	33
acnB	33	21	21	24	19	17	20	21	28	19	18	17	18	21	23	33
yacL	13	9	7	14	14	9	16	6	9	18	10	6	6	9	10	18
speD	4	0	3	1	0	0	0	0	4	0	1	0	1	0	0	0
speE	7	5	4	8	4	9	5	4	4	5	5	8	9	4	8	15
yacC	17	7	12	9	11	10	10	10	6	11	6	10	11	13	5	16
cueO	16	10	10	9	5	6	10	12	13	11	10	7	11	6	11	17
gcd	31	15	6	22	16	4	9	11	9	10	6	8	17	11	12	17
hpt	17	8	11	22	12	6	9	6	11	10	4	15	17	9	16	31
can	8	8	3	7	3	8	5	7	1	2	4	9	13	6	4	19
yadG	19	9	7	7	4	4	5	3	6	2	8	8	13	1	3	8
yadI	4	4	8	6	4	4	3	9	9	4	15	3	5	8	5	12
yadE	4	2	1	4	2	4	5	4	2	5	2	3	3	4	4	13
panD	23	14	21	14	21	10	21	15	14	24	13	18	14	18	14	18
yadD	18	18	15	14	14	13	21	21	18	24	10	14	14	14	21	23
panC	0	1	1	0	1	0	1	0	1	0	1	2	0	1	0	1
panB	9	10	6	10	14	7	3	6	5	8	3	5	7	5	9	5
yadC	17	5	3	3	7	1	1	0	2	2	1	1	3	0	1	1
yadK	1	3	3	3	3	0	0	2	3	0	1	0	3	1	0	2
yadL	2	0	1	2	0	0	0	0	2	0	1	0	1	0	0	1
yadM	2	2	1	0	2	0	1	1	1	0	2	1	1	1	0	0
htrE	3	0	5	4	4	1	1	0	2	4	3	0	3	2	0	1
yadV	9	3	3	16	4	3	0	4	5	0	5	4	13	5	5	17
yadN	50	15	8	50	20	10	4	24	12	7	7	14	41	26	21	59
pcnB	1	4	2	5	1	3	2	5	5	3	1	4	5	1	7	9
gluQ	1	4	2	1	5	3	3	0	1	2	3	2	2	2	0	4
dksA	16	8	11	13	10	7	10	8	7	11	8	13	15	10	10	19
sfsA	1	0	1	1	2	0	1	0	1	1	1	1	0	1	1	1
ligT	6	5	4	5	7	4	6	3	2	6	3	4	4	6	2	5
hrpB	5	4	3	5	2	3	6	4	6	6	4	5	4	2	7	6
mrcB	15	8	15	8	10	15	9	15	17	11	19	7	4	16	10	15
fhuA	15	11	8	25	14	14	13	12	10	9	5	9	21	18	7	27
fhuC	1	2	1	2	4	3	2	3	1	3	5	3	0	4	4	11
hemL	25	16	12	22	21	9	6	11	13	10	4	8	16	12	13	25
clcA	25	8	11	22	13	4	6	12	12	10	9	16	16	13	21	25
erpA	8	2	4	11	3	4	4	0	6	4	6	4	7	1	6	10
yadS	1	2	2	1	3	2	1	3	3	2	4	2	0	2	4	4
mtn	9	2	3	6	2	7	8	7	3	7	3	5	6	8	3	3
dgt	3	5	7	6	3	3	8	3	8	7	7	2	6	3	2	9
degP	19	10	8	8	7	2	5	8	10	5	3	4	9	5	6	19
cdaR	11	14	4	9	13	13	6	15	5	6	8	6	9	14	7	13
yaeH	19	7	12	13	11	5	7	7	11	11	9	5	9	7	8	19
yaeI	1	4	4	3	5	2	5	1	4	7	4	1	1	0	4	6
dapD	4	2	2	2	1	0	0	1	3	0	0	3	3	0	4	4
glnD	5	1	1	7	2	2	5	2	4	7	5	1	4	1	5	8
map	13	16	6	21	16	7	14	7	13	11	9	12	15	10	15	19
tff	19	12	7	21	15	9	14	6	10	11	7	16	15	13	16	13
rpsB	2	1	2	3	1	1	0	1	1	0	1	1	4	1	0	6
tsf	16	9	23	18	13	17	15	11	21	19	23	10	17	11	12	21
pyrH	17	5	9	8	8	6	7	10	7	11	8	8	7	10	10	14
frr	26	15	20	19	17	13	18	11	14	20	23	23	23	12	19	17
dxr	6	4	2	4	3	2	7	9	5	7	5	4	2	9	7	14
ispU	11	6	15	13	7	7	10	10	8	12	11	16	19	10	10	19
cdsA	0	0	0	0	0	0	1	1	0	1	4	1	0	1	1	1
rseP	2	0	1	1	0	0	1	0	1	0	2	1	1	0	0	0
bamA	4	2	4	2	1	0	2	0	3	1	1	2	4	0	0	2
skp	11	5	9	9	7	6	6	4	8	7	10	10	8	5	9	6
lpxD	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
fabZ	3	4	4	8	5	4	7	6	4	5	4	8	7	9	6	19
lpxA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
dnaE	5	1	3	2	0	1	2	2	4	0	1	3	2	3	3	3
accA	1	2	1	1	1	0	0	1	1	0	1	0	2	0	0	0
ldcC	10	4	8	4	6	4	4	4	7	5	10	4	3	6	4	14
yaeR	6	3	5	1	2	2	5	3	4	5	4	4	3	1	3	4
tilS	4	3	0	5	5	5	6	3	0	8	4	4	3	4	5	4
yaeP	12	8	16	10	11	4	8	8	13	11	10	12	9	8	12	12
yaeQ	12	12	8	10	12	10	8	16	8	11	4	8	9	13	11	12
nlpE	4	0	2	1	0	0	0	0	2	0	2	0	0	0	1	0
yaeF	5	1	3	4	3	4	0	2	3	2	5	2	3	2	4	9
proS	8	10	2	3	7	9	3	13	3	5	3	4	4	9	7	20
rcsF	6	6	4	12	9	4	4	6	6	5	5	5	7	8	8	21
metQ	9	3	3	4	4	0	1	0	3	0	2	2	3	1	1	2
metN	14	10	8	19	11	8	11	12	13	12	4	7	14	11	13	19
gmhB	19	7	12	19	13	4	11	8	11	12	8	10	14	13	11	14
rrsH	48	23	21	24	24	13	22	21	29	19	11	16	15	25	21	29
ileV	9	5	6	3	5	2	1	6	5	4	0	4	4	3	6	4
alaV	5	3	2	4	3	0	1	1	2	2	2	2	3	0	3	8
rrlH	30	9	9	11	11	1	6	13	13	6	6	13	6	15	17	16
rrfH	11	5	10	7	6	2	5	3	12	6	3	2	3	3	5	9
aspU	11	1	4	3	3	2	3	0	1	2	4	6	4	2	2	3
dkgB	18	5	11	14	10	7	7	12	7	9	2	6	13	14	4	22
yafC	23	15	10	23	19	6	7	16	12	10	10	9	18	17	14	30
yafD	30	9	16	23	14	10	7	10	17	10	6	15	18	12	19	23
yafE	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
mltD	5	6	1	4	5	2	6	5	2	3	2	5	4	8	3	9
gloB	2	4	2	1	4	2	1	3	2	0	1	2	1	3	1	3
yafS	3	2	3	1	1	1	1	2	3	0	2	4	1	2	4	2
rnhA	2	4	7	4	6	1	3	2	4	1	2	6	4	6	2	9
dnaQ	9	6	2	4	2	2	3	7	6	1	1	4	4	4	6	2
aspV	21	9	7	8	7	6	12	4	11	9	6	5	5	6	6	9
yafT	30	5	16	46	17	6	8	13	20	9	7	18	30	23	23	55
ykfM	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1
yafU	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
yafF	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
yafV	19	7	8	16	10	8	4	8	5	9	4	7	16	7	8	16
ivy	16	7	8	16	8	4	4	8	7	9	8	7	16	5	10	19
fadE	26	17	16	20	20	10	6	10	13	11	11	15	20	8	16	19
gmhA	19	15	10	20	16	11	6	16	8	11	10	17	20	13	20	26
yafJ	12	10	4	15	8	16	23	12	11	22	11	11	10	12	16	11
yafK	14	5	7	11	6	14	9	8	9	10	6	10	7	8	13	17
yafQ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dinJ	25	11	7	28	16	7	4	10	7	8	5	10	23	11	14	22
yafL	22	10	10	28	14	5	4	7	11	8	7	11	23	7	16	25
rayT	11	9	8	10	7	15	18	10	11	18	6	7	9	9	9	17
dinB	5	5	4	5	5	3	1	6	5	3	1	4	4	4	7	7
yafN	0	2	1	9	2	0	0	3	1	1	3	6	9	2	7	4
yafO	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yafP	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	3
ykfJ	29	16	18	28	19	13	13	18	22	18	13	15	20	17	24	33
prfH	1	2	1	0	0	0	4	0	1	1	1	2	1	1	0	0
pepD	22	16	14	14	13	12	13	20	16	15	12	18	15	16	21	22
gpt	22	18	20	14	21	12	13	14	16	15	12	16	15	16	13	22
frsA	4	4	5	3	6	4	4	7	1	7	8	6	5	7	5	14
crl	9	3	4	5	7	1	0	1	2	4	2	2	3	1	4	8
phoE	34	12	13	27	18	8	15	14	13	17	11	12	22	18	13	39
proB	39	12	14	27	13	11	15	13	18	17	8	12	22	13	18	34
proA	0	0	2	0	1	0	0	1	1	2	2	0	0	0	1	0
thrW	9	7	5	8	10	9	7	2	5	5	5	9	4	7	8	13
ykfN	6	11	1	7	6	10	8	10	3	8	3	4	9	6	6	16
ykfI	2	4	2	0	2	1	1	1	2	1	0	0	2	0	0	1
yafW	2	1	2	1	1	0	0	1	2	0	1	2	2	0	2	0
ykfH	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	1
ykfG	2	1	3	0	2	1	1	0	2	1	1	0	0	0	0	0
yafX	2	9	3	8	9	14	9	3	5	8	2	1	6	5	2	10
ykfF	4	2	8	3	6	9	3	4	3	6	5	3	5	5	1	8
ykfB	5	4	3	0	3	0	1	0	4	0	1	0	0	0	0	0
ykfK	15	14	8	10	14	21	11	17	9	10	8	16	9	18	16	19
yafZ	1	3	2	6	1	14	5	7	5	4	4	6	5	6	7	14
ykfA	26	14	18	30	23	7	14	26	15	22	14	12	24	27	18	37
perR	7	5	6	7	9	6	0	6	6	2	4	8	4	8	10	6
insN	6	8	6	7	10	4	0	6	8	2	6	5	4	6	9	7
insI1	59	29	23	29	34	20	17	16	32	21	25	20	16	17	33	28
eyeA	30	28	25	19	23	26	27	16	36	25	34	27	12	13	37	11
ykfC	13	9	16	9	7	10	14	8	18	15	22	13	8	5	16	8
insH1	24	12	13	16	14	15	13	8	12	15	13	9	14	9	10	9
mmuP	9	9	8	16	10	13	13	13	9	15	15	12	14	12	14	24
afuC	0	1	1	0	1	0	1	1	1	2	1	0	0	0	1	0
afuB	0	1	1	1	1	1	1	0	1	0	1	2	1	1	1	2
insA	1	2	2	4	2	2	0	4	4	3	3	6	3	1	10	7
insI1	7	6	4	4	10	3	0	2	1	3	2	2	3	4	2	1
insX	7	4	5	3	4	5	3	2	5	3	4	3	3	3	3	6
yagB	10	5	3	8	8	7	5	4	4	4	5	5	3	8	5	8
yagA	22	18	20	18	17	21	13	16	23	11	32	14	16	17	14	21
yagE	21	14	16	18	14	32	13	20	17	11	21	18	16	23	17	22
yagF	1	2	0	1	0	1	3	0	2	1	1	0	1	0	0	0
yagG	28	13	9	25	13	5	10	7	12	8	8	12	22	9	14	30
yagH	1	0	1	1	1	1	1	0	1	1	2	0	0	0	0	0
yagI	6	6	7	7	11	17	9	6	7	10	11	6	2	10	7	15
argF	18	7	5	12	8	4	5	2	8	5	8	7	8	3	10	12
ykgS	12	7	2	12	10	8	5	5	3	5	4	7	8	8	8	18
insA	1	2	2	4	2	2	1	4	4	3	3	6	3	2	10	7
yagJ	7	6	4	4	10	3	1	2	2	3	2	2	3	4	2	1
yagK	16	18	21	26	19	16	5	17	12	10	12	20	34	13	16	15
yagL	7	3	3	1	3	0	0	0	3	0	2	1	1	0	0	1
yagM	42	17	21	33	25	14	10	17	20	15	12	13	27	20	16	36
yagN	14	9	8	17	16	2	1	2	6	2	1	4	13	8	3	9
intF	21	9	4	13	10	3	1	3	3	3	0	4	12	2	6	14
ptwF	14	4	3	13	6	0	1	4	2	3	3	9	12	3	10	21
paoD	1	1	1	0	1	0	0	0	2	0	2	0	0	0	0	0
paoA	39	20	24	40	31	24	13	27	17	23	12	18	35	28	21	44
yagU	44	18	27	40	21	12	13	24	28	23	24	20	35	17	31	39
ykgJ	27	22	16	25	22	15	19	16	19	12	16	20	22	23	15	22
ecpC	1	2	2	3	2	0	1	1	3	2	1	1	2	0	3	0
ecpB	1	2	3	3	2	7	1	6	3	3	5	3	3	4	5	5
ecpA	11	6	4	4	8	2	2	5	4	2	5	3	2	7	3	5
ecpR	70	32	15	52	34	22	9	31	18	12	11	19	48	30	25	71
ykgL	49	27	31	38	31	16	18	22	29	22	28	39	37	22	40	50
ykgM	42	17	19	41	31	18	11	15	19	12	16	20	27	28	22	24
ykgR	42	32	26	48	39	25	19	25	30	17	16	24	37	34	26	32
ykgP	49	26	20	54	28	26	19	28	28	20	22	18	45	29	27	60
eaeH	56	16	24	57	28	23	17	22	25	18	24	28	45	32	30	54
insE1	4	6	7	1	6	2	2	5	4	3	3	5	4	5	3	1
ykgA	28	18	13	23	17	12	8	19	16	12	13	11	21	14	17	26
ykgQ	26	11	19	23	17	13	8	13	14	12	12	18	21	16	17	28
rclC	0	1	0	1	2	0	0	0	1	0	1	1	0	1	1	1
rclB	13	6	5	12	7	1	2	11	6	2	2	3	9	12	4	12
rclA	33	11	12	26	15	3	6	9	17	4	2	13	16	16	16	25
rclR	25	13	9	26	16	2	6	12	16	4	3	11	16	17	15	33
ykgE	58	14	20	62	22	22	14	18	31	17	29	26	43	23	39	61
ykgF	2	0	1	2	0	0	0	0	1	0	1	0	2	0	0	0
ykgH	11	15	11	24	12	10	8	14	20	6	9	7	18	13	13	20
betA	0	0	2	1	1	1	0	0	1	0	2	1	1	0	0	2
betB	0	1	2	0	0	1	2	0	3	0	1	1	0	0	1	0
betI	18	9	4	15	9	7	5	4	7	3	2	6	13	5	7	13
betT	13	6	4	15	7	2	5	4	5	3	7	9	13	7	9	18
yahA	37	18	28	59	23	10	10	25	36	17	22	36	46	24	51	57
yahB	10	3	7	12	4	2	2	5	7	2	3	4	11	6	4	8
yahC	21	10	13	22	15	13	10	15	13	10	7	16	17	20	17	37
yahD	37	16	15	22	17	7	10	13	20	10	13	10	17	13	15	21
yahE	3	5	3	1	4	2	2	2	3	2	4	2	1	1	2	1
yahI	18	18	24	32	27	30	40	20	23	51	28	21	24	18	31	15
yahJ	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0
yahK	26	17	21	35	25	10	18	17	23	26	26	21	26	17	31	36
yahL	30	14	16	22	10	8	10	13	11	9	3	13	30	10	8	34
yahM	36	15	21	39	35	15	15	19	20	22	19	29	20	32	36	38
yahN	10	11	8	14	13	9	5	6	7	4	7	8	12	9	6	16
yahO	16	8	6	14	6	7	5	8	9	4	9	11	12	7	13	10
prpR	32	11	10	21	18	9	9	8	7	13	6	15	16	11	16	35
prpB	35	15	8	21	16	6	9	10	11	13	9	11	16	7	18	32
prpC	22	40	18	30	23	23	48	26	42	38	25	20	22	20	34	7
prpD	6	5	1	2	2	3	2	2	2	0	1	1	4	1	0	0
prpE	5	2	5	1	3	0	3	0	2	3	4	4	3	1	0	2
codB	20	19	8	28	19	21	28	16	21	26	16	13	15	19	23	36
cynR	6	4	7	9	4	3	4	9	9	3	5	8	8	9	9	10
cynT	10	8	9	9	9	5	4	7	9	3	3	4	8	9	4	6
cynS	2	2	2	2	3	4	0	1	1	0	1	1	2	2	0	6
cynX	4	3	2	2	6	2	3	0	1	3	0	1	0	2	1	1
lacA	4	3	2	8	6	3	8	1	5	7	3	2	3	5	3	1
lacY	5	1	2	5	3	5	4	1	1	4	4	3	4	3	2	3
lacZ	8	9	7	8	12	4	5	7	5	10	6	7	7	5	9	12
lacI	7	2	5	7	6	4	6	1	6	6	7	4	2	4	5	3
mhpR	21	14	8	14	17	5	10	6	6	11	6	15	13	8	14	21
mhpA	21	15	6	14	14	6	10	8	8	11	5	14	13	6	17	21
mhpC	1	0	3	3	1	0	0	0	3	1	1	0	1	0	2	0
mhpD	1	0	0	1	0	0	0	0	1	0	2	1	0	1	1	0
mhpT	18	26	23	35	26	22	61	26	31	59	36	26	27	27	32	24
yaiL	11	8	6	5	7	5	6	5	3	6	11	4	9	3	2	9
frmB	3	5	4	4	4	13	6	6	4	4	12	4	5	7	3	8
frmA	2	1	5	4	1	1	1	2	6	1	1	0	3	1	2	2
frmR	4	6	7	20	8	28	8	11	9	11	11	6	17	10	11	19
insC1	49	33	22	40	29	28	32	26	25	28	24	28	41	25	28	41
yaiP	11	5	5	13	9	1	9	4	9	11	5	6	5	7	11	11
yaiS	66	40	14	71	49	10	9	23	16	15	6	18	61	26	25	50
tauA	50	15	24	69	22	9	9	15	28	14	12	39	57	18	48	70
tauB	1	0	3	0	1	0	1	0	1	2	2	0	0	0	0	0
hemB	74	28	20	63	45	22	13	22	19	21	6	16	46	32	23	49
yaiT	49	18	24	62	24	7	14	19	34	20	23	26	47	18	42	72
insE1	22	38	40	30	41	22	34	19	25	23	15	52	42	34	26	36
yaiV	12	5	3	8	5	3	5	5	5	5	5	2	7	5	4	7
ampH	32	27	17	28	31	19	20	17	15	25	8	16	25	16	20	34
sbmA	34	16	17	28	20	8	20	17	16	25	19	27	25	15	31	32
yaiW	3	0	3	0	0	0	0	0	2	0	1	1	1	0	0	0
yaiY	26	20	12	22	23	12	9	13	17	10	8	12	14	15	17	28
yaiZ	28	12	13	22	17	8	9	12	15	10	12	20	14	17	23	26
ddlA	50	23	24	44	30	17	15	21	20	18	11	25	41	25	24	73
iraP	73	25	21	44	24	11	15	24	25	18	17	23	41	20	30	50
phoA	12	4	6	8	5	1	3	4	4	3	2	8	9	5	6	19
psiF	8	6	6	7	8	5	8	5	6	12	11	6	4	3	10	12
yaiC	10	5	3	8	2	5	4	11	6	5	5	4	9	7	8	8
proC	8	2	6	9	8	5	5	8	4	9	6	8	5	10	10	15
yaiI	15	8	8	9	10	6	5	6	10	9	5	2	5	4	8	8
aroL	11	10	5	21	8	5	7	9	10	5	10	9	17	9	13	32
yaiA	6	3	3	3	1	3	5	2	4	2	1	2	4	3	1	5
aroM	24	16	13	22	22	6	9	14	13	13	11	15	17	15	19	27
yaiE	4	4	7	2	6	7	2	4	3	6	3	5	4	2	5	6
ykiA	11	1	5	20	7	11	4	9	8	5	5	2	12	14	6	26
rdgC	12	7	5	12	8	7	9	4	7	8	7	4	9	7	4	13
mak	13	4	4	12	4	7	9	5	7	8	7	7	9	7	8	12
araJ	4	3	6	11	5	3	4	10	6	8	13	10	9	7	14	11
sbcD	16	5	8	21	13	7	12	5	10	14	8	11	11	11	14	22
phoB	22	11	5	21	14	8	12	8	11	14	7	5	11	10	13	16
phoR	1	3	4	4	3	1	3	6	4	5	4	1	4	4	3	6
brnQ	31	19	13	36	23	19	20	23	13	24	17	23	32	23	27	62
proY	3	4	1	6	3	4	3	2	4	3	7	6	3	1	10	14
malZ	9	1	10	16	9	18	6	9	11	7	10	7	7	16	10	11
acpH	7	6	6	5	3	8	4	9	6	5	7	3	8	5	4	5
queA	5	3	9	5	4	7	4	6	5	5	8	6	8	6	3	7
tgt	7	3	2	0	0	1	5	3	4	3	4	5	2	2	5	8
yajC	4	0	1	4	0	0	0	0	2	0	2	0	4	0	1	3
secD	5	0	1	2	0	3	0	1	1	1	2	0	2	1	1	6
secF	0	0	1	1	0	0	1	0	2	1	1	1	0	0	1	0
yajD	12	4	5	11	6	10	7	4	10	4	7	7	4	10	9	17
tsx	31	19	11	26	19	15	18	11	17	14	9	18	19	15	20	35
yajI	13	14	7	8	5	8	11	12	14	9	9	3	9	5	8	14
nrdR	14	3	12	8	8	9	11	7	5	9	8	14	9	14	5	13
ribD	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ribE	13	3	5	5	3	11	8	5	7	8	7	0	4	5	2	1
nusB	4	0	2	2	0	1	0	0	1	0	3	1	2	1	0	1
thiL	2	4	4	5	4	7	6	4	5	5	5	3	4	5	3	10
yajO	16	10	19	11	13	8	6	11	14	15	9	8	13	6	12	7
dxs	3	1	2	3	1	3	0	1	0	1	1	1	4	0	1	1
