gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
YDL233W	YDL233W	YDL233W	NM_001180293	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL232W	YDL232W	YDL232W	NP_010049	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL232W	YDL232W	YDL232W	NM_001180292	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL232W	YDL232W	YDL232W	NM_001180292	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL231C	YDL231C	YDL231C	NP_010050	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL231C	YDL231C	YDL231C	NM_001180291	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL231C	YDL231C	YDL231C	NM_001180291	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL230W	YDL230W	YDL230W	NP_010051	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL230W	YDL230W	YDL230W	NM_001180290	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL230W	YDL230W	YDL230W	NM_001180290	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL229W	YDL229W	YDL229W	NP_010052	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL229W	YDL229W	YDL229W	NM_001180289	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL229W	YDL229W	YDL229W	NM_001180289	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL227C	YDL227C	YDL227C	NP_010054	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL227C	YDL227C	YDL227C	NM_001180287	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL227C	YDL227C	YDL227C	NM_001180287	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL226C	YDL226C	YDL226C	NP_010055	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL226C	YDL226C	YDL226C	NM_001180286	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL226C	YDL226C	YDL226C	NM_001180286	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL225W	YDL225W	YDL225W	NP_010056	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL225W	YDL225W	YDL225W	NM_001180285	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL225W	YDL225W	YDL225W	NM_001180285	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL224C	YDL224C	YDL224C	NP_010057	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL224C	YDL224C	YDL224C	NM_001180284	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL224C	YDL224C	YDL224C	NM_001180284	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL223C	YDL223C	YDL223C	NP_010058	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL223C	YDL223C	YDL223C	NM_001180283	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL223C	YDL223C	YDL223C	NM_001180283	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL222C	YDL222C	YDL222C	NP_010059	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL222C	YDL222C	YDL222C	NM_001180282	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL222C	YDL222C	YDL222C	NM_001180282	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL220C	YDL220C	YDL220C	NP_010061	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL220C	YDL220C	YDL220C	NM_001180280	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL220C	YDL220C	YDL220C	NM_001180280	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL219W	YDL219W	YDL219W	NP_010062	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL219W	YDL219W	YDL219W	NM_001180279	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL219W	YDL219W	YDL219W	NM_001180279	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL218W	YDL218W	YDL218W	NP_010063	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL218W	YDL218W	YDL218W	NM_001180278	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL218W	YDL218W	YDL218W	NM_001180278	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL217C	YDL217C	YDL217C	NP_010064	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL217C	YDL217C	YDL217C	NM_001180277	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL217C	YDL217C	YDL217C	NM_001180277	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL216C	YDL216C	YDL216C	NP_010065	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL216C	YDL216C	YDL216C	NM_001180276	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL216C	YDL216C	YDL216C	NM_001180276	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL215C	YDL215C	YDL215C	NP_010066	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL215C	YDL215C	YDL215C	NM_001180275	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL215C	YDL215C	YDL215C	NM_001180275	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL214C	YDL214C	YDL214C	NP_010067	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL214C	YDL214C	YDL214C	NM_001180274	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL214C	YDL214C	YDL214C	NM_001180274	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL213C	YDL213C	YDL213C	NP_010068	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL213C	YDL213C	YDL213C	NM_001180273	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL213C	YDL213C	YDL213C	NM_001180273	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL212W	YDL212W	YDL212W	NP_010069	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL212W	YDL212W	YDL212W	NM_001180272	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL212W	YDL212W	YDL212W	NM_001180272	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL211C	YDL211C	YDL211C	NP_010070	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL211C	YDL211C	YDL211C	NM_001180271	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL211C	YDL211C	YDL211C	NM_001180271	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL210W	YDL210W	YDL210W	NP_010071	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL210W	YDL210W	YDL210W	NM_001180270	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL210W	YDL210W	YDL210W	NM_001180270	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL209C	YDL209C	YDL209C	NP_010072	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL209C	YDL209C	YDL209C	NM_001180269	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL209C	YDL209C	YDL209C	NM_001180269	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL208W	YDL208W	YDL208W	NP_010073	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL208W	YDL208W	YDL208W	NM_001180268	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL208W	YDL208W	YDL208W	NM_001180268	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL207W	YDL207W	YDL207W	NP_010074	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL207W	YDL207W	YDL207W	NM_001180267	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL207W	YDL207W	YDL207W	NM_001180267	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL206W	YDL206W	YDL206W	NP_010075	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL206W	YDL206W	YDL206W	NM_001180266	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL206W	YDL206W	YDL206W	NM_001180266	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL205C	YDL205C	YDL205C	NP_010076	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL205C	YDL205C	YDL205C	NM_001180265	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL205C	YDL205C	YDL205C	NM_001180265	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL204W	YDL204W	YDL204W	NP_010077	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL204W	YDL204W	YDL204W	NM_001180264	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL204W	YDL204W	YDL204W	NM_001180264	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL203C	YDL203C	YDL203C	NP_010078	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL203C	YDL203C	YDL203C	NM_001180263	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL203C	YDL203C	YDL203C	NM_001180263	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL202W	YDL202W	YDL202W	NP_010079	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL202W	YDL202W	YDL202W	NM_001180262	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL202W	YDL202W	YDL202W	NM_001180262	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL201W	YDL201W	YDL201W	NP_010080	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL201W	YDL201W	YDL201W	NM_001180261	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL201W	YDL201W	YDL201W	NM_001180261	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL200C	YDL200C	YDL200C	NP_010081	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL200C	YDL200C	YDL200C	NM_001180260	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL200C	YDL200C	YDL200C	NM_001180260	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL199C	YDL199C	YDL199C	NP_010082	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL199C	YDL199C	YDL199C	NM_001180259	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL199C	YDL199C	YDL199C	NM_001180259	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL198C	YDL198C	YDL198C	NP_010083	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL198C	YDL198C	YDL198C	NM_001180258	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL198C	YDL198C	YDL198C	NM_001180258	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL197C	YDL197C	YDL197C	NP_010084	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL197C	YDL197C	YDL197C	NM_001180257	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL197C	YDL197C	YDL197C	NM_001180257	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL195W	YDL195W	YDL195W	NP_010086	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL195W	YDL195W	YDL195W	NM_001180255	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL195W	YDL195W	YDL195W	NM_001180255	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL194W	YDL194W	YDL194W	NP_010087	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL194W	YDL194W	YDL194W	NM_001180254	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL194W	YDL194W	YDL194W	NM_001180254	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL193W	YDL193W	YDL193W	NP_010088	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL193W	YDL193W	YDL193W	NM_001180253	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL193W	YDL193W	YDL193W	NM_001180253	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL192W	YDL192W	YDL192W	NP_010089	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL192W	YDL192W	YDL192W	NM_001180252	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL192W	YDL192W	YDL192W	NM_001180252	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL191W	YDL191W	YDL191W	NP_010090	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL191W	YDL191W	YDL191W	NP_010145	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL191W	YDL191W	YDL191W	NM_001180196	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL191W	YDL191W	YDL191W	NM_001180196	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL190C	YDL190C	YDL190C	NP_010091	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL190C	YDL190C	YDL190C	NM_001180250	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL190C	YDL190C	YDL190C	NM_001180250	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL189W	YDL189W	YDL189W	NP_010092	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL189W	YDL189W	YDL189W	NM_001180249	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL189W	YDL189W	YDL189W	NM_001180249	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL188C	YDL188C	YDL188C	NP_010093	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL188C	YDL188C	YDL188C	NM_001180248	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL188C	YDL188C	YDL188C	NM_001180248	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL186W	YDL186W	YDL186W	NP_010095	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL186W	YDL186W	YDL186W	NM_001180246	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL186W	YDL186W	YDL186W	NM_001180246	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL185W	YDL185W	YDL185W	NP_010096	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL185W	YDL185W	YDL185W	NM_001180245	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL185W	YDL185W	YDL185W	NM_001180245	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL184C	YDL184C	YDL184C	NP_010097	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL184C	YDL184C	YDL184C	NP_010148	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL184C	YDL184C	YDL184C	NM_001180244	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL184C	YDL184C	YDL184C	NM_001180244	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL183C	YDL183C	YDL183C	NP_010098	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL183C	YDL183C	YDL183C	NM_001180243	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL183C	YDL183C	YDL183C	NM_001180243	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL182W	YDL182W	YDL182W	NP_010099	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL182W	YDL182W	YDL182W	NM_001180242	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL182W	YDL182W	YDL182W	NM_001180242	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL181W	YDL181W	YDL181W	NP_010100	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL181W	YDL181W	YDL181W	NM_001180241	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL181W	YDL181W	YDL181W	NM_001180241	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL180W	YDL180W	YDL180W	NP_010101	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL180W	YDL180W	YDL180W	NM_001180240	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL180W	YDL180W	YDL180W	NM_001180240	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL179W	YDL179W	YDL179W	NP_010102	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL179W	YDL179W	YDL179W	NM_001180239	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL179W	YDL179W	YDL179W	NM_001180239	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL178W	YDL178W	YDL178W	NP_010103	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL178W	YDL178W	YDL178W	NM_001180238	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL178W	YDL178W	YDL178W	NM_001180238	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL177C	YDL177C	YDL177C	NP_010104	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL177C	YDL177C	YDL177C	NM_001180237	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL177C	YDL177C	YDL177C	NM_001180237	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL176W	YDL176W	YDL176W	NP_010105	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL176W	YDL176W	YDL176W	NM_001180236	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL176W	YDL176W	YDL176W	NM_001180236	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL175C	YDL175C	YDL175C	NP_010106	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL175C	YDL175C	YDL175C	NM_001180235	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL175C	YDL175C	YDL175C	NM_001180235	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL174C	YDL174C	YDL174C	NP_010107	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL174C	YDL174C	YDL174C	NM_001180234	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL174C	YDL174C	YDL174C	NM_001180234	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL173W	YDL173W	YDL173W	NP_010108	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL173W	YDL173W	YDL173W	NM_001180233	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL173W	YDL173W	YDL173W	NM_001180233	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL171C	YDL171C	YDL171C	NP_010110	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL171C	YDL171C	YDL171C	NM_001180231	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL171C	YDL171C	YDL171C	NM_001180231	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL170W	YDL170W	YDL170W	NP_010111	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL170W	YDL170W	YDL170W	NM_001180230	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL170W	YDL170W	YDL170W	NM_001180230	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL169C	YDL169C	YDL169C	NP_010112	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL169C	YDL169C	YDL169C	NM_001180229	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL169C	YDL169C	YDL169C	NM_001180229	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL168W	YDL168W	YDL168W	NP_010113	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL168W	YDL168W	YDL168W	NM_001180228	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL168W	YDL168W	YDL168W	NM_001180228	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL167C	YDL167C	YDL167C	NP_010114	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL167C	YDL167C	YDL167C	NM_001180227	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL167C	YDL167C	YDL167C	NM_001180227	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL166C	YDL166C	YDL166C	NP_010115	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL166C	YDL166C	YDL166C	NM_001180226	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL166C	YDL166C	YDL166C	NM_001180226	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL165W	YDL165W	YDL165W	NP_010116	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL165W	YDL165W	YDL165W	NM_001180225	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL165W	YDL165W	YDL165W	NM_001180225	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL164C	YDL164C	YDL164C	NP_010117	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL164C	YDL164C	YDL164C	NM_001180224	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL164C	YDL164C	YDL164C	NM_001180224	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL161W	YDL161W	YDL161W	NP_010120	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL161W	YDL161W	YDL161W	NM_001180221	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL161W	YDL161W	YDL161W	NM_001180221	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL160C-A	YDL160C-A	YDL160C-A	NP_878060	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL160C-A	YDL160C-A	YDL160C-A	NM_001184530	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL160C-A	YDL160C-A	YDL160C-A	NM_001184530	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL160C	YDL160C	YDL160C	NP_010121	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL160C	YDL160C	YDL160C	NM_001180220	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL160C	YDL160C	YDL160C	NM_001180220	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL159W-A	YDL159W-A	YDL159W-A	NP_076884	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL159W-A	YDL159W-A	YDL159W-A	NM_001184465	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL159W-A	YDL159W-A	YDL159W-A	NM_001184465	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL159W	YDL159W	YDL159W	NP_010122	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL159W	YDL159W	YDL159W	NM_001180219	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL159W	YDL159W	YDL159W	NM_001180219	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL157C	YDL157C	YDL157C	NP_010124	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL157C	YDL157C	YDL157C	NM_001180217	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL157C	YDL157C	YDL157C	NM_001180217	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL156W	YDL156W	YDL156W	NP_010125	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
